Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,032121","0,00015398","0,080053",0,0,0,"0,39395","0,0019624","1,4883E-06","9,3225E-06","0,0024401","-4,4917E-07","0,0035021",0,0,0,0,0,0,package://Completo)/meshes/base_link.STL,"0,89412","0,89412","0,89412",1,0,0,0,0,0,0,package://Completo)/meshes/base_link.STL,,Base_fuente-1;JGA25-370-3,Sistema de coordenadas2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,"0,00011296","0,0036436","0,16947",0,0,0,"0,98975","0,0031385","1,9319E-06","-2,496E-06","0,0031469","-1,6333E-05","0,0042043",0,0,0,0,0,0,package://Completo)/meshes/L1.STL,"0,89412","0,89412","0,89412",1,0,0,0,0,0,0,package://Completo)/meshes/L1.STL,,Primer_eje-1;base_para_rotacion_en_z-1;JGA25-370-1,Sistema de coordenadas2,,J1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L2,"0,09901","-0,0065","-0,053392",0,0,0,"0,47272","0,00057411","1,1691E-09","1,3207E-05","0,0041612","3,9123E-10","0,0041747",0,0,0,0,0,0,package://Completo)/meshes/L2.STL,"0,89412","0,89412","0,89412",1,0,0,0,0,0,0,package://Completo)/meshes/L2.STL,,Segundo_eje-1;JGA25-370-2,Sistema de coordenadas11,Eje1,J2,continuous,0,"-0,14657","0,28918","-1,5708",0,"3,1416",L1,0,0,-1,,,,,,,,,,,,
L3,"0,088017","-0,001569","0,077554",0,0,0,"0,35924","0,00037372","2,9584E-05","-6,2665E-08","0,0012452","-4,5112E-08","0,0012451",0,0,0,0,0,0,package://Completo)/meshes/L3.STL,"0,89412","0,89412","0,89412",1,0,0,0,0,0,0,package://Completo)/meshes/L3.STL,,Gripper-1/Tercer_eje-1;Gripper-1/EX2.step-1/2026-03-26-12-15-49-661.step-1;Gripper-1/EX2.step-1/2026-04-01-15-06-43-257_1.step-1/2026-04-01-15-06-43-257-0.step-1;Gripper-1/EX2.step-1/2026-04-01-15-06-43-257_1.step-1/2026-03-26-05-24-30-217_1.step-1;Gripper-1/EX2.step-1/2026-03-27-10-59-35-280.step-2;Gripper-1/EX2.step-1/2026-03-30-12-38-44-969.step-1;Gripper-1/EX2.step-1/2026-03-30-07-15-51-324.step-1/2026-03-30-07-15-51-334.step-1;Gripper-1/EX2.step-1/2026-03-30-12-38-44-969_1.step-1;Gripper-1/EX2.step-1/2026-03-27-10-59-35-280.step-1,Sistema de coordenadas12,Eje2,J3,continuous,"0,2019",0,"0,092024","3,1416",0,"-1,5708",L2,0,0,-1,,,,,,,,,,,,
