t_sec,joint,position,velocity,effort
0.546782951,J1,0.499721220,-1.114944943,0.104690532
0.546782951,J2,3.131522654,-3.000000000,-1.725142108
0.546782951,J3,1.305729375,-3.000000000,0.285925910
0.556764223,J1,0.489948113,-0.977310702,0.110444601
0.556764223,J2,3.101522654,-3.000000000,-1.724191146
0.556764223,J3,1.275729375,-3.000000000,0.285016371
0.566760442,J1,0.481282274,-0.866583955,0.114759972
0.566760442,J2,3.071522654,-3.000000000,-1.721334445
0.566760442,J3,1.245729375,-3.000000000,0.283897196
0.576803247,J1,0.473612484,-0.766979008,0.117811908
0.576803247,J2,3.041522654,-3.000000000,-1.716806916
0.576803247,J3,1.215729375,-3.000000000,0.282683737
0.586821956,J1,0.466967140,-0.664534373,0.119442579
0.586821956,J2,3.011522654,-3.000000000,-1.710700098
0.586821956,J3,1.185729375,-3.000000000,0.281445555
0.596741766,J1,0.461114337,-0.585280252,0.120438119
0.596741766,J2,2.981522654,-3.000000000,-1.703154162
0.596741766,J3,1.155729375,-3.000000000,0.280099125
0.606734004,J1,0.455974341,-0.513999668,0.120648912
0.606734004,J2,2.951522654,-3.000000000,-1.694224349
0.606734004,J3,1.125729375,-3.000000000,0.278718411
0.616709339,J1,0.451601961,-0.437237973,0.119644086
0.616709339,J2,2.921522654,-3.000000000,-1.683912489
0.616709339,J3,1.095729375,-3.000000000,0.277345924
0.626769745,J1,0.447792916,-0.380904519,0.118620951
0.626769745,J2,2.891522654,-3.000000000,-1.672366077
0.626769745,J3,1.065729375,-3.000000000,0.275925686
0.636790409,J1,0.444490400,-0.330251558,0.117136787
0.636790409,J2,2.861522654,-3.000000000,-1.659565717
0.636790409,J3,1.035729375,-3.000000000,0.274504314
0.646757783,J1,0.441767982,-0.272241867,0.114524226
0.646757783,J2,2.831522654,-3.000000000,-1.645486997
0.646757783,J3,1.005729375,-3.000000000,0.273106997
0.656740242,J1,0.439442030,-0.232595177,0.112361934
0.656740242,J2,2.801522654,-3.000000000,-1.630261792
0.656740242,J3,0.975729375,-3.000000000,0.271698863
0.666759370,J1,0.437595740,-0.184629001,0.109088652
0.666759370,J2,2.771522654,-3.000000000,-1.613809136
0.666759370,J3,0.945729375,-3.000000000,0.270320500
0.676823128,J1,0.436056925,-0.153881478,0.106511471
0.676823128,J2,2.741522654,-3.000000000,-1.596240118
0.676823128,J3,0.915729375,-3.000000000,0.268948470
0.686781911,J1,0.434794383,-0.126254201,0.103778687
0.686781911,J2,2.711522654,-3.000000000,-1.577520997
0.686781911,J3,0.885729375,-3.000000000,0.267602204
0.696741392,J1,0.433901522,-0.089286083,0.099914803
0.696741392,J2,2.681522654,-3.000000000,-1.557642664
0.696741392,J3,0.855729375,-3.000000000,0.266290374
0.706715121,J1,0.433218988,-0.068253448,0.097030599
0.706715121,J2,2.651522654,-3.000000000,-1.536682059
0.706715121,J3,0.825729375,-3.000000000,0.265001934
0.716756599,J1,0.432725301,-0.049368657,0.094080244
0.716756599,J2,2.621522654,-3.000000000,-1.514622867
0.716756599,J3,0.795729375,-3.000000000,0.263747180
0.726748907,J1,0.432520844,-0.020445737,0.089955568
0.726748907,J2,2.591522654,-3.000000000,-1.491475499
0.726748907,J3,0.765729375,-3.000000000,0.262529495
0.736826215,J1,0.432456103,-0.006474109,0.087011708
0.736826215,J2,2.561522654,-3.000000000,-1.467281300
0.736826215,J3,0.735729375,-3.000000000,0.261346509
0.746766419,J1,0.432635068,0.017896570,0.082862985
0.746766419,J2,2.531522654,-3.000000000,-1.442050652
0.746766419,J3,0.705729375,-3.000000000,0.260201780
0.756768854,J1,0.432914104,0.027903565,0.079987906
0.756768854,J2,2.501522654,-3.000000000,-1.415800207
0.756768854,J3,0.675729375,-3.000000000,0.259097522
0.766775619,J1,0.433282772,0.036866830,0.077108758
0.766775619,J2,2.471522654,-3.000000000,-1.388552895
0.766775619,J3,0.645729375,-3.000000000,0.258034876
0.776731119,J1,0.433848364,0.056559160,0.072984771
0.776731119,J2,2.441522654,-3.000000000,-1.360350944
0.776731119,J3,0.615729375,-3.000000000,0.257012205
0.786806472,J1,0.434473654,0.062529063,0.070226870
0.786806472,J2,2.411522654,-3.000000000,-1.331183033
0.786806472,J3,0.585729375,-3.000000000,0.256035952
0.796734872,J1,0.435152252,0.067859801,0.067472870
0.796734872,J2,2.381522654,-3.000000000,-1.301092170
0.796734872,J3,0.555729375,-3.000000000,0.255104405
0.806838302,J1,0.435993407,0.084115427,0.063452676
0.806838302,J2,2.351522654,-3.000000000,-1.270134448
0.806838302,J3,0.525729375,-3.000000000,0.254214488
0.816745260,J1,0.436865029,0.087162264,0.060838927
0.816745260,J2,2.321522654,-3.000000000,-1.238277328
0.816745260,J3,0.495729375,-3.000000000,0.253375196
0.826854067,J1,0.437763660,0.089863078,0.058225958
0.826854067,J2,2.291522654,-3.000000000,-1.205579987
0.826854067,J3,0.465729375,-3.000000000,0.252583050
0.836933541,J1,0.438799537,0.103587657,0.054350423
0.836933541,J2,2.261522654,-3.000000000,-1.172108465
0.836933541,J3,0.435729375,-3.000000000,0.251834166
0.846776592,J1,0.439844768,0.104523146,0.051876393
0.846776592,J2,2.231522654,-3.000000000,-1.137816191
0.846776592,J3,0.405729375,-3.000000000,0.251138879
0.856798513,J1,0.441010148,0.116537972,0.045175604
