Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-8,24981831132208E-16","-2,06977155180624E-16","0,0986593576349687",0,0,0,"0,452327737140302","0,000378452379819395","3,96942236294751E-19","1,17803864394129E-19","0,000378452379819395","-3,91045900025848E-20","0,000620483672178546",0,0,0,0,0,0,package://robotSCARA/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotSCARA/meshes/base_link.STL,,Pieza1^robotSCARA-1;Pieza2^robotSCARA-1;Pieza3^robotSCARA-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Brazolargo_link,"0,0449746700876207","0,00572575947934414","0,179748213950828",0,0,0,"0,372293769888142","0,000277229449143451","-8,36213433414768E-06","2,5116112085686E-08","0,000341827122837935","3,28054903736071E-09","0,000291255476814182",0,0,0,0,0,0,package://robotSCARA/meshes/Brazolargo_link.STL,"0,866666666666667","0,909803921568627",1,1,0,0,0,0,0,0,package://robotSCARA/meshes/Brazolargo_link.STL,,Pieza5^robotSCARA-1;pz2-2;Pieza8^robotSCARA-1;Pieza8^robotSCARA-3;pz1-1,Origin_Brazolargo_joint,Axis_Brazolargo_joint,Brazolargo_joint,continuous,0,0,"0,028",0,0,0,base_link,0,0,1,,,,,,,,,,,,
Brazocorto_link,"0,0694835563402382","0,00525566197858263","-0,0414746523055035",0,0,0,"0,21068967739346","0,00010977234132843","1,89928638799796E-06","1,32570707273304E-08","8,48110963487405E-05","8,02669798465583E-10","0,000174309589826302",0,0,0,0,0,0,package://robotSCARA/meshes/Brazocorto_link.STL,1,1,1,1,0,0,0,0,0,0,package://robotSCARA/meshes/Brazocorto_link.STL,,Pieza19^robotSCARA-2;Pieza13^robotSCARA-3;Pieza13^robotSCARA-1;Pieza20^robotSCARA-2;Pieza10^robotSCARA-1,Origin_Brazocorto_joint,Axis_Brazocorto_joint,Brazocorto_joint,continuous,"0,15468","0,019691","0,2045",0,0,0,Brazolargo_link,0,0,1,,,,,,,,,,,,
Actuador_link,"-0,0099748501847331","0,000974890457157235","-0,0907688854070704",0,0,0,"0,155372116662273","0,000342840252728658","-1,44734159500994E-06","-1,19858206538947E-08","0,000323815082818613","9,06605552275155E-10","3,76060317326654E-05",0,0,0,0,0,0,package://robotSCARA/meshes/Actuador_link.STL,"0,866666666666667","0,909803921568627",1,1,0,0,0,0,0,0,package://robotSCARA/meshes/Actuador_link.STL,,Pieza16^robotSCARA-1;Pieza21^robotSCARA-1;pz3-1;pz4-1,Origin_Actuador_joint,Axis_Actuador_joint,Actuador_joint,prismatic,"0,14124","0,010683","-0,21754","3,1416",0,0,Brazocorto_link,0,0,1,0,0,0,0,,,,,,,,
