Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0325586406231884","0,000156081646546977","0,0798986449199547",0,0,0,"0,493597596305665","0,00249042444010258","1,89013850858789E-06","1,18396069039037E-05","0,00309705791419506","-5,70550454718768E-07","0,00444715507582301",0,0,0,0,0,0,package://Corregido/meshes/base_link.STL,"0,698039215686274","0,698039215686274","0,698039215686274",1,0,0,0,0,0,0,package://Corregido/meshes/base_link.STL,,Base_fuente-1;JGA25-370-3,Sistema de coordenadas2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1,"0,00011021","0,0034718","0,18954",0,0,0,"1,2503","0,0039841","2,4766E-06","-3,1699E-06","0,003996","-2,0743E-05","0,0053377",0,0,0,0,0,0,package://Corregido/meshes/L1.STL,"0,69804","0,69804","0,69804",1,0,0,0,0,0,0,package://Corregido/meshes/L1.STL,,Primer_eje-1;base_para_rotacion_en_z-1;JGA25-370-1,Sistema de coordenadas2,,J1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L2,"0,096796","-0,0014545","0,069802",0,0,0,"0,61222","0,00072999","1,4848E-09","1,6773E-05","0,0052856","3,9123E-10","0,0053029",0,0,0,0,0,0,package://Corregido/meshes/L2.STL,"0,69804","0,69804","0,69804",1,0,0,0,0,0,0,package://Corregido/meshes/L2.STL,,Segundo_eje-1;JGA25-370-2;Alargador 2-1,Sistema de coordenadas4,Eje1,J2,continuous,"3,5078E-05","-0,058","0,31418","-1,5708",0,"3,1416",L1,0,0,-1,,,,,,,,,,,,
L3,"0,074686","0,0014245","0,09685",0,0,0,"0,43367","0,00046332","-3,765E-05","6,2733E-08","0,0015707","-4,5092E-08","0,0015747",0,0,0,0,0,0,package://Corregido/meshes/L3.STL,"0,69804","0,69804","0,69804",1,0,0,0,0,0,0,package://Corregido/meshes/L3.STL,,Gripper-1/Tercer_eje-1;Gripper-1/EX2.step-1/2026-04-01-15-06-43-257_1.step-1/2026-04-01-15-06-43-257-0.step-1;Gripper-1/EX2.step-1/2026-03-26-12-15-49-661.step-1;Gripper-1/EX2.step-1/2026-04-01-15-06-43-257_1.step-1/2026-03-26-05-24-30-217_1.step-1;Gripper-1/EX2.step-1/2026-03-27-10-59-35-280.step-1;Gripper-1/EX2.step-1/2026-03-27-10-59-35-280.step-2;Gripper-1/EX2.step-1/2026-03-30-12-38-44-969_1.step-1;Gripper-1/EX2.step-1/2026-03-30-07-15-51-324.step-1/2026-03-30-07-15-51-334.step-1;Gripper-1/EX2.step-1/2026-03-30-12-38-44-969.step-1,Sistema de coordenadas3,Eje2,J3,continuous,"0,20193","-0,0015","0,043",0,0,"-1,5708",L2,0,0,1,,,,,,,,,,,,
